OTU_ID,NCBI_SuperKingdom,NCBI_Phylum,NCBI_Class,NCBI_Order,NCBI_Family,NCBI_Genus,NCBI_Species,GBIFkingdom,GBIFphylum,GBIFclass,GBIForder,GBIFfamily,GBIFgenus,GBIFspecies,vernacularName
OTU1,Eukaryota,NA,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Planosiphon,Planosiphon gracilis,Chromista,Ochrophyta,Phaeophyceae,Scytosiphonales_Ectocarpales,Scytosiphonaceae,Planosiphon,NA,Brown Algae
OTU10,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU100,Eukaryota,Arthropoda,Insecta,NA,NA,NA,NA,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,Insects
OTU1000,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1001,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1002,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1003,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1004,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1005,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1006,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1007,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1008,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1009,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU101,Eukaryota,Oomycota,NA,Pythiales,Pythiaceae,Salispina,Salispina spinosa,Chromista,Oomycota,Peronosporea,Peronosporales,Pythiaceae,Salispina,Salispina spinosa,Oomycetes
OTU1010,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1011,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
OTU1012,Eukaryota,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Plantae,Rhodophyta,Florideophyceae,NA,NA,NA,NA,Red Algae
OTU1013,Eukaryota,Oomycota,NA,Pythiales,Pythiaceae,NA,NA,Chromista,Oomycota,Peronosporea,Peronosporales,Pythiaceae,NA,NA,Oomycetes
OTU1014,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown Eukaryotes
