OTU_ID	NCBI_SuperKingdom	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	lowest_taxa_annotation	kingdom	phylum	class	order	family	genus	species	scientificName	taxonRank	verbatimIdentification
1	OTU1	Eukaryota		Phaeophyceae	Ectocarpales	Scytosiphonaceae	Planosiphon	Planosiphon_gracilis	Planosiphon_gracilis	Chromista	Ochrophyta	Phaeophyceae	Scytosiphonales	Scytosiphonaceae	Planosiphon		Planosiphon McDevit & G.W.Saunders, 2017	genus	NCBI_annotation|do:Eukaryota|p:NA|c:Phaeophyceae|o:Ectocarpales|f:Scytosiphonaceae|g:Planosiphon|s:Planosiphon_gracilis
2	OTU10	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
3	OTU100	Eukaryota	Arthropoda	Insecta					Insecta	Animalia	Arthropoda	Insecta					Insecta	class	NCBI_annotation|do:Eukaryota|p:Arthropoda|c:Insecta|o:NA|f:NA|g:NA|s:NA
4	OTU1000	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
5	OTU1001	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
6	OTU1002	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
7	OTU1003	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
8	OTU1004	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
9	OTU1005	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
10	OTU1006	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
11	OTU1007	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
12	OTU1008	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
13	OTU1009	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
14	OTU101	Eukaryota	Oomycota		Pythiales	Pythiaceae	Salispina	Salispina_spinosa	Salispina_spinosa	Chromista	Oomycota	Peronosporea	Rhipidiales		Salispina	Salispina spinosa	Salispina spinosa (Fell & Master) Marano, A.L.Jesus & Pires-Zottar.	species	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Pythiales|f:Pythiaceae|g:Salispina|s:Salispina_spinosa
15	OTU1010	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
16	OTU1011	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
17	OTU1012	Eukaryota	Rhodophyta	Florideophyceae					Florideophyceae	Plantae	Rhodophyta	Florideophyceae					Florideophyceae	class	NCBI_annotation|do:Eukaryota|p:Rhodophyta|c:Florideophyceae|o:NA|f:NA|g:NA|s:NA
18	OTU1013	Eukaryota	Oomycota		Pythiales	Pythiaceae			Pythiaceae	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae			Pythiaceae	family	NCBI_annotation|do:Eukaryota|p:Oomycota|c:NA|o:Pythiales|f:Pythiaceae|g:NA|s:NA
19	OTU1014	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
20	OTU1015	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
21	OTU1016	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
22	OTU1017	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
23	OTU1018	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
24	OTU1019	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
25	OTU102	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
26	OTU1020	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
27	OTU1021	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
28	OTU1022	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
29	OTU1023	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
30	OTU1024	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
31	OTU1025	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
32	OTU1026	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
33	OTU1027	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
34	OTU1028	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
35	OTU1029	Eukaryota	Rhodophyta	Florideophyceae					Florideophyceae	Plantae	Rhodophyta	Florideophyceae					Florideophyceae	class	NCBI_annotation|do:Eukaryota|p:Rhodophyta|c:Florideophyceae|o:NA|f:NA|g:NA|s:NA
36	OTU103	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
37	OTU1030	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
38	OTU1031	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
39	OTU1032	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
40	OTU1033	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
41	OTU1034	Eukaryota							Eukaryota										NCBI_annotation|do:Eukaryota|p:NA|c:NA|o:NA|f:NA|g:NA|s:NA
