OTU_ID,SuperKingdom,Phylum,Class,Order,Family,Genus,Species
OTU1,Eukaryota,,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Planosiphon,Planosiphon_gracilis
OTU10,Eukaryota,,,,,,
OTU100,Eukaryota,Arthropoda,Insecta,,,,
OTU1000,Eukaryota,,,,,,
OTU1001,Eukaryota,,,,,,
OTU1002,Eukaryota,,,,,,
OTU1003,Eukaryota,,,,,,
OTU1004,Eukaryota,,,,,,
OTU1005,Eukaryota,,,,,,
OTU1006,Eukaryota,,,,,,
OTU1007,Eukaryota,,,,,,
OTU1008,Eukaryota,,,,,,
OTU1009,Eukaryota,,,,,,
OTU101,Eukaryota,Oomycota,,Pythiales,Pythiaceae,Salispina,Salispina_spinosa
OTU1010,Eukaryota,,,,,,
OTU1011,Eukaryota,,,,,,
OTU1012,Eukaryota,Rhodophyta,Florideophyceae,,,,
OTU1013,Eukaryota,Oomycota,,Pythiales,Pythiaceae,,
OTU1014,Eukaryota,,,,,,
OTU1015,Eukaryota,,,,,,
OTU1016,Eukaryota,,,,,,
OTU1017,Eukaryota,,,,,,
OTU1018,Eukaryota,,,,,,
OTU1019,Eukaryota,,,,,,
OTU102,Eukaryota,,,,,,
OTU1020,Eukaryota,,,,,,
OTU1021,Eukaryota,,,,,,
OTU1022,Eukaryota,,,,,,
OTU1023,Eukaryota,,,,,,
OTU1024,Eukaryota,,,,,,
OTU1025,Eukaryota,,,,,,
OTU1026,Eukaryota,,,,,,
OTU1027,Eukaryota,,,,,,
OTU1028,Eukaryota,,,,,,
OTU1029,Eukaryota,Rhodophyta,Florideophyceae,,,,
OTU103,Eukaryota,,,,,,
OTU1030,Eukaryota,,,,,,
OTU1031,Eukaryota,,,,,,
OTU1032,Eukaryota,,,,,,
OTU1033,Eukaryota,,,,,,
OTU1034,Eukaryota,,,,,,
OTU1035,Eukaryota,,,,,,
OTU1036,Eukaryota,,,,,,
OTU1037,Eukaryota,,,,,,
OTU1038,Eukaryota,,,,,,
OTU1039,Eukaryota,,,,,,
OTU104,Eukaryota,,,,,,
OTU1040,Eukaryota,,,,,,
OTU1041,Eukaryota,,,,,,
OTU1042,Eukaryota,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Capreolia,Capreolia implexa
OTU1043,Eukaryota,,,,,,
OTU1044,Eukaryota,,,,,,
OTU1045,Eukaryota,,,,,,
OTU1046,Eukaryota,,,,,,
OTU1047,Eukaryota,,,,,,
OTU1048,Eukaryota,Rhodophyta,Florideophyceae,,,,
OTU1049,Eukaryota,,,,,,
OTU105,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
